Number,Company,TypeName,Inches,Display,Touchscreen,Width,Height,CpuModel,ClockSpeed,Ram,MemoryComponent1,MemoryComponent2,Gpu,OpSys,Weight,Price
42,Asus,Notebook,15.6,None,0,1366,768,Intel Core i5 7200U,2.5,8,1TB HDD,,Nvidia GeForce 940MX,Linux,2.3,27864.9072
43,Acer,Notebook,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i5 8250U,1.6,4,256GB SSD,,Intel UHD Graphics 620,Windows 10,2.2,36336.96
44,Dell,2 in 1 Convertible,17.3,Full HD,1,1920,1080,Intel Core i5 8250U,1.6,12,1TB HDD,,Nvidia GeForce 150MX,Windows 10,2.77,53226.72
45,Apple,Ultrabook,13.3,IPS Panel Retina Display,0,2560,1600,Intel Core i5,2.0,8,256GB SSD,,Intel Iris Graphics 540,macOS,1.37,75604.31999999999
46,Lenovo,Notebook,15.6,None,0,1366,768,Intel Core i3 6006U,2.0,4,128GB SSD,,Intel HD Graphics 520,No OS,2.2,19660.32
47,Asus,Gaming,17.3,Full HD,0,1920,1080,AMD Ryzen 1700,3.0,8,256GB SSD,1TB HDD,AMD Radeon RX 580,Windows 10,3.2,69210.72
48,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,4,256GB SSD,,AMD Radeon R5 M430,Windows 10,2.3,34045.92
49,Asus,Notebook,17.3,None,0,1366,768,Intel Pentium Quad Core N4200,1.1,4,1TB HDD,,Nvidia GeForce 920MX,Windows 10,2.8,24828.48
50,Lenovo,2 in 1 Convertible,10.1,IPS Panel,1,1920,1200,Intel Atom x5-Z8550,1.44,4,64GB Flash Storage,,Intel HD Graphics 400,Android,0.69,16996.32
51,Acer,Notebook,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,,Nvidia GeForce MX150,Windows 10,2.2,44808.48
52,HP,Notebook,15.6,Full HD,0,1920,1080,AMD A6-Series 9220,2.5,4,256GB SSD,,AMD Radeon R4 Graphics,Windows 10,1.86,21231.5472
53,HP,Notebook,13.3,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,512GB SSD,,Intel UHD Graphics 620,Windows 10,1.49,58767.84
54,Acer,Notebook,15.6,None,0,1366,768,Intel Core i3 7100U,2.4,4,1TB HDD,,Intel HD Graphics 620,Windows 10,2.4,20459.52
55,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,,AMD Radeon 520,Windows 10,2.13,40908.384
56,HP,Notebook,15.6,Full HD,0,1920,1080,Intel Core i3 6006U,2.0,4,128GB SSD,,Intel HD Graphics 520,Windows 10,1.91,23389.92
57,Asus,Notebook,15.6,None,0,1366,768,Intel Core i5 7200U,2.5,4,256GB SSD,,Intel HD Graphics 620,Windows 10,2.0,31232.203200000004
58,MSI,Gaming,17.3,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,256GB SSD,2TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.43,130482.72
59,Asus,Notebook,15.6,Full HD,0,1920,1080,Intel Core i3 6006U,2.0,4,256GB SSD,,Intel HD Graphics 520,Linux,2.0,22111.2
60,Dell,Notebook,17.3,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,16,256GB SSD,2TB HDD,AMD Radeon 530,Windows 10,2.8,69210.72
61,Dell,Ultrabook,14.0,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,1.7,46833.12
62,Lenovo,Notebook,14.0,IPS Panel Full HD,0,1920,1080,Intel Core i3 7130U,2.7,8,256GB SSD,,Intel HD Graphics 620,No OS,1.7,31914.72
63,Asus,Notebook,14.0,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,1.4,50136.48
64,HP,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.86,36763.2
65,Asus,Ultrabook,15.6,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,512GB SSD,,Nvidia GeForce GTX 1050Ti,Windows 10,1.8,105654.24
66,HP,Notebook,15.6,None,0,1366,768,Intel Core i3 6006U,2.0,4,500GB HDD,,AMD Radeon 520,Windows 10,1.86,23373.4032
67,HP,Notebook,14.0,None,0,1366,768,Intel Celeron Dual Core N3060,1.6,4,32GB SSD,,Intel HD Graphics 400,Windows 10,1.44,12201.12
68,Lenovo,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,4,1TB HDD,,Intel HD Graphics 620,Windows 10,1.9,29250.72
69,Asus,Gaming,17.3,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,12,1TB HDD,,Nvidia GeForce GTX 1050Ti,Linux,3.0,50562.72
70,Microsoft,Ultrabook,13.5,None,1,2256,1504,Intel Core i5 7200U,2.5,4,128GB SSD,,Intel HD Graphics 620,Windows 10 S,1.252,58021.92
71,Dell,Ultrabook,13.3,IPS Panel Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,,AMD Radeon 530,Windows 10,1.4,50882.4
72,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,,AMD Radeon 530,Windows 10,2.2,46353.6
73,MSI,Gaming,17.3,Full HD,0,1920,1080,Intel Core i5 7300HQ,2.5,8,128GB SSD,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.7,58341.6
74,Acer,Notebook,14.0,None,0,1366,768,Intel Core i3 6006U,2.0,8,1TB HDD,,Intel HD Graphics 520,Windows 10,2.1,20725.92
75,Asus,Gaming,15.6,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,1TB HDD,,Nvidia GeForce GTX 1050,Windows 10,2.2,50562.72
76,Lenovo,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,2TB HDD,,Intel HD Graphics 620,No OS,2.2,27652.32
77,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,128GB SSD,1TB HDD,Intel UHD Graphics 620,Windows 10,2.02,45554.4
78,Acer,Notebook,15.6,Full HD,0,1920,1080,Intel Core i3 7130U,2.7,4,1TB HDD,,Nvidia GeForce MX130,Windows 10,2.2,28238.4
79,HP,Notebook,17.3,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,128GB SSD,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5,52054.56
80,Dell,Ultrabook,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,1.88,58403.4048
81,Apple,Ultrabook,12.0,IPS Panel Retina Display,0,2304,1440,Intel Core i5,1.3,8,512GB SSD,,Intel HD Graphics 615,macOS,0.92,80452.8
82,HP,Notebook,14.0,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.63,45820.8
83,Lenovo,Notebook,15.6,Full HD,0,1920,1080,AMD A6-Series 9220,2.5,4,128GB SSD,,AMD R4 Graphics,Windows 10,2.2,21258.72
84,Acer,Notebook,15.6,None,0,1366,768,AMD A9-Series 9420,3.0,4,1TB HDD,,AMD Radeon R5,Windows 10,2.1,21045.6
85,Dell,Gaming,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,128GB SSD,1TB HDD,Nvidia GeForce GTX 1050Ti,Windows 10,2.65,71874.72
86,HP,Ultrabook,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,,Nvidia GeForce GTX 940MX,Windows 10,1.83,37242.72
87,HP,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.96,31914.1872
88,Asus,Gaming,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,128GB SSD,1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.2,77202.72
89,Dell,Ultrabook,13.3,IPS Panel Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,1.21,87858.72
90,Asus,Gaming,15.6,Full HD,0,1920,1080,AMD FX 9830P,3.0,8,1TB HDD,,AMD Radeon RX 560,Windows 10,2.45,37242.72
91,Acer,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,1TB HDD,,Nvidia GeForce MX150,Windows 10,2.2,36709.92
92,HP,Notebook,13.3,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,16,512GB SSD,,Intel UHD Graphics 620,Windows 10,1.49,63776.16
93,Dell,Gaming,15.6,Full HD,0,1920,1080,Intel Core i5 7300HQ,2.5,8,256GB SSD,,Nvidia GeForce GTX 1060,Windows 10,2.65,63669.6
94,Asus,Ultrabook,14.0,Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.25,55890.72
95,Acer,2 in 1 Convertible,13.3,IPS Panel Full HD,1,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,1.5,45128.16
96,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,1TB HDD,,AMD Radeon R5 M430,Linux,2.2,31962.672
97,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i3 6006U,2.0,4,256GB SSD,,AMD Radeon R5 M430,Linux,2.2,25840.8
98,Asus,Notebook,15.6,Full HD,0,1920,1080,Intel Core i3 7100U,2.4,6,256GB SSD,,Nvidia GeForce 920M,Windows 10,2.0,30742.56
99,HP,Gaming,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,12,128GB SSD,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.62,66546.72
100,HP,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,256GB SSD,,AMD Radeon 530,Windows 10,1.91,38308.32
101,HP,Notebook,15.6,Full HD,0,1920,1080,AMD E-Series E2-9000e,1.5,4,500GB HDD,,AMD Radeon R2,Windows 10,2.1,18594.72
102,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,1TB HDD,,AMD Radeon 520,Linux,2.2,34472.16
103,HP,Ultrabook,13.3,IPS Panel Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,256GB SSD,,Nvidia GeForce MX150,Windows 10,1.38,59620.32
104,Microsoft,Ultrabook,13.5,None,1,2256,1504,Intel Core i5 7200U,2.5,8,256GB SSD,,Intel HD Graphics 620,Windows 10 S,1.252,71395.2
105,HP,Notebook,14.0,IPS Panel Full HD,0,1920,1080,Intel Core i5 7200U,2.5,6,256GB SSD,,Nvidia GeForce 940MX,Windows 10,1.58,35111.52
106,Lenovo,Notebook,15.6,Full HD,0,1920,1080,Intel Core i3 6006U,2.0,4,1TB HDD,,Intel HD Graphics 520,Windows 10,1.85,22105.872
107,Asus,Ultrabook,14.0,IPS Panel Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,256GB SSD,,Nvidia GeForce 940MX,Windows 10,1.3,63563.04
108,MSI,Gaming,15.6,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,256GB SSD,1TB HDD,Nvidia GeForce GTX 1050Ti,Windows 10,2.2,69210.72
109,Lenovo,Notebook,14.0,IPS Panel Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.58,78854.4
110,Asus,Ultrabook,15.6,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,16,256GB SSD,1TB HDD,Nvidia GeForce MX150,Windows 10,1.5,67239.36
111,Dell,Ultrabook,13.3,Quad HD+,1,3200,1800,Intel Core i7 7560U,2.4,8,256GB SSD,,Intel Iris Plus Graphics 640,Windows 10,1.23,73473.12
112,Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD,1,1920,1080,Intel Core i5 7200U,2.5,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.37,74538.72
113,HP,Notebook,14.0,IPS Panel,0,1366,768,Intel Core i5 8250U,1.6,4,500GB HDD,,Intel UHD Graphics 620,Windows 10,1.63,38468.16
114,Dell,Ultrabook,13.3,IPS Panel Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,1.21,86793.12
115,HP,2 in 1 Convertible,13.3,IPS Panel Full HD,1,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,1.26,74538.1872
116,HP,Notebook,14.0,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,512GB SSD,,Intel UHD Graphics 620,Windows 10,1.63,57755.52
117,Dell,Notebook,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,1TB HDD,Nvidia GeForce 940MX,Windows 10,2.16,60223.98239999999
118,Asus,Notebook,17.3,Full HD,0,1920,1080,Intel Core i3 6006U,2.0,4,1TB HDD,,Nvidia GeForce 920MX,Windows 10,2.0,30049.92
119,Asus,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,,Nvidia GeForce 940MX,Windows 10,1.7,59567.04
120,Acer,Notebook,15.6,IPS Panel Full HD,1,1920,1080,Intel Core i3 7100U,2.4,6,1TB HDD,,Intel HD Graphics 620,Windows 10,2.1,25521.12
121,MSI,Gaming,15.6,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,256GB SSD,2TB HDD,Nvidia GeForce GTX 1070,Windows 10,1.8,119427.12
122,Lenovo,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,256GB SSD,,Nvidia GeForce 940MX,No OS,2.2,33513.119999999995
123,HP,Notebook,17.3,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,16,512GB SSD,,Nvidia GeForce 930MX,Windows 10,2.5,67718.88
124,Acer,Notebook,15.6,None,0,1366,768,AMD A9-Series 9420,3.0,4,256GB SSD,,AMD Radeon R5,Windows 10,2.1,24029.28
125,HP,Notebook,15.6,None,0,1366,768,Intel Celeron Dual Core N3060,1.6,4,500GB HDD,,Intel HD Graphics 400,No OS,1.86,13799.52
126,HP,Notebook,14.0,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,1TB HDD,,Intel UHD Graphics 620,Windows 10,1.63,43263.36
127,Asus,Notebook,14.0,None,0,1366,768,AMD E-Series 6110,1.5,4,64GB SSD,,AMD Radeon R2,Windows 10 S,1.65,14811.3072
128,Dell,Notebook,17.3,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,16,256GB SSD,2TB HDD,AMD Radeon 530,Windows 10,2.8,74378.87999999999
129,HP,Notebook,17.3,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,2.5,49443.84
130,Dell,Notebook,15.6,None,0,1366,768,Intel Core i5 7200U,2.5,8,1TB HDD,,AMD Radeon R7 M445,Windows 10,2.36,34045.3872
131,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i3 6006U,2.0,4,1TB HDD,,AMD Radeon R5 M430,Windows 10,2.2,23922.72
132,Acer,Ultrabook,14.0,IPS Panel Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,1.6,47099.52
133,Acer,Notebook,15.6,Full HD,0,1920,1080,Intel Core i3 7130U,2.7,4,256GB SSD,,Nvidia GeForce MX130,Windows 10,2.2,30476.16
134,HP,Notebook,15.6,None,0,1366,768,Intel Core i7 7500U,2.7,8,1TB HDD,,Intel HD Graphics 620,Windows 10,2.05,31861.44
135,HP,Notebook,14.0,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,1.63,52640.64
136,Lenovo,Notebook,15.6,None,0,1366,768,Intel Celeron Dual Core N3350,1.1,4,1TB HDD,,Intel HD Graphics 500,No OS,1.9,13445.7408
137,Asus,Gaming,17.3,Full HD,0,1920,1080,Intel Core i5 7300HQ,2.5,8,128GB SSD,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3.0,49976.64
138,Lenovo,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,4,1TB HDD,,Nvidia GeForce 920MX,No OS,2.2,26586.72
139,HP,Notebook,13.3,IPS Panel Full HD,0,1920,1080,Intel Core i5 7200U,2.5,4,256GB SSD,,Intel HD Graphics 620,Windows 10,1.32,37242.72
140,Acer,Notebook,17.3,IPS Panel Full HD,0,1920,1080,Intel Core i3 7130U,2.7,4,1TB HDD,,Nvidia GeForce MX130,Windows 10,3.0,34898.4
141,Lenovo,Notebook,14.0,IPS Panel Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,AMD Radeon RX 550,Windows 10,1.75,59461.5456
142,Lenovo,Gaming,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,256GB SSD,,Nvidia GeForce GTX 1050M,No OS,2.4,46300.32
143,Toshiba,Notebook,15.6,None,0,1366,768,Intel Core i5 6200U,2.3,4,500GB HDD,,Intel HD Graphics 520,Windows 10,2.1,32074.56
144,HP,Notebook,15.6,None,0,1366,768,AMD A6-Series 9220,2.5,4,256GB SSD,,AMD Radeon R4 Graphics,Windows 10,1.86,19660.32
145,Asus,Ultrabook,14.0,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,1.25,58554.72
146,HP,Ultrabook,12.5,IPS Panel 4K Ultra HD,1,3840,2160,Intel Core M 6Y75,1.2,8,512GB SSD,,Intel HD Graphics 515,Windows 10,0.97,107305.92
147,Asus,Notebook,15.6,Full HD,0,1920,1080,Intel Celeron Dual Core N3350,1.1,4,1TB HDD,,Intel HD Graphics 500,Windows 10,2.0,18328.32
148,MSI,Gaming,17.3,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,256GB SSD,1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.9,108105.12
149,Acer,Notebook,15.6,None,0,1366,768,Intel Core i3 6006U,2.0,4,1TB HDD,,Intel HD Graphics 520,Windows 10,2.1,23816.16
150,Dell,Gaming,15.6,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,512GB SSD,,Nvidia GeForce GTX 1050,Windows 10,2.56,66560.5728
151,Dell,Gaming,15.6,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,1.0TB Hybrid,,Nvidia GeForce GTX 1050,Windows 10,2.62,47898.72
152,Lenovo,Notebook,15.6,None,0,1366,768,Intel Core i5 7200U,2.5,4,128GB SSD,,Intel HD Graphics 620,Windows 10,1.9,26533.44
153,MSI,Gaming,17.3,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,256GB SSD,1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.8,100699.2
154,HP,Ultrabook,14.0,Full HD,0,1920,1080,Intel Core i5 7500U,2.7,4,256GB SSD,,Intel HD Graphics 620,Windows 10,1.48,57648.96
155,HP,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,6,256GB SSD,,AMD Radeon 520,Windows 10,1.91,32980.32
156,Lenovo,2 in 1 Convertible,14.0,IPS Panel Full HD,1,1920,1080,Intel Core i3 7100U,2.4,4,256GB SSD,,Intel HD Graphics 620,Windows 10,1.74,33513.119999999995
157,Asus,2 in 1 Convertible,13.3,Full HD,1,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.1,70063.2
158,Dell,2 in 1 Convertible,15.6,Full HD,1,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,1.56,55890.72
159,Toshiba,Notebook,15.6,None,0,1366,768,Intel Core i3 6006U,2.2,4,500GB HDD,,Intel HD Graphics 520,Windows 10,2.1,23816.16
160,Asus,Notebook,15.6,None,0,1366,768,AMD A9-Series 9420,3.0,4,1TB HDD,,AMD Radeon R5 M420,Windows 10,2.03,21471.84
161,Acer,Notebook,17.3,IPS Panel Full HD,0,1920,1080,Intel Core i5 8250U,1.6,4,256GB SSD,,Nvidia GeForce MX150,Windows 10,3.0,42890.4
162,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,AMD Radeon 520,Windows 10,2.13,38787.84
